
"Boulder, Colorado, United States, 80305", 2015-04-07 17:36:04.472149+00:00
"Hatboro, PA, United States, 19040", 2015-09-11 02:18:28.619254+00:00
"San Diego, CA, United States, 92110", 2015-01-09 16:23:32.501548+00:00
"Fort Wayne, IN, United States, 46815", 2015-01-09 16:26:15.156201+00:00
"Atlanta, GA, United States, None", 2015-01-09 16:26:05.009073+00:00
"Atlanta, GA, USA, 30328", 2015-01-09 16:24:29.774667+00:00
"San Diego, California, United States, 92121", 2015-01-09 21:10:06.128819+00:00
"Upper Marlboro, MD, United States, 20774", 2015-01-09 16:35:05.997485+00:00
"Minden, LA, United States, 71055", 2015-01-09 16:39:27.400860+00:00
"Manly, NSW, Australia, ", 2015-01-09 16:40:46.237557+00:00
"Chassell , Michigan, United States, ", 2015-01-09 17:15:28.485639+00:00
"Columbia Falls, MT, United States, 59912", 2014-12-22 22:58:01.792194+00:00
"Glen Mills, Pennsylvania, United States, 19342", 2015-01-09 21:14:05.853044+00:00
"Colchester, England, United Kingdom, Le17 5lp", 2015-02-26 17:39:10.033883+00:00
"Dunkirk, MD, USA, 20754", 2015-01-09 21:16:01.414271+00:00
"Morrens, NA, Switzerland, 1054", 2015-01-09 21:17:30.198097+00:00
"Dublin, Co. Dublin, Ireland, ", 2015-09-11 15:31:02.906516+00:00
"Ambler, Pennsylvania, United States, 19002", 2015-01-09 16:45:34.428880+00:00
"Fallbrook, California, United States, ", 2015-01-09 21:17:45.065535+00:00
"Dutton, VA, United States, 23050", 2015-01-10 11:54:07.816488+00:00
"Philadelphia, Pennsylvania, United States, 19130", 2015-01-09 23:47:04.143484+00:00
"Newark, Delaware, USA, 19713", 2015-01-10 01:34:04.603754+00:00
"Orem, UT, United States, ", 2015-05-17 03:19:00.729010+00:00
"Mound, MN, United States, ", 2015-01-11 20:19:11.553400+00:00
"Byron, Minnesota, United States, 55920", 2015-01-11 19:01:09.205074+00:00
"Ramona, CA, United States, 92065", 2015-01-12 00:26:47.129944+00:00
"Massillon, OH, United States, 44646", 2015-01-09 16:47:08.109600+00:00
"Bend, OR, United States, 97701", 2015-01-09 23:48:17.540553+00:00
"Chesapeake, VA, United States, 23322", 2015-01-09 21:18:58.930617+00:00
"Denver, CO, United States, ", 2015-01-10 01:33:46.989629+00:00
"Gosford , NSW, Australia, ", 2015-05-22 21:06:58.785133+00:00
"Minneapolis, MN, USA, 55408", 2015-01-11 20:30:27.810710+00:00
"Winnetka, Illinois, United States, 60093", 2015-01-12 12:34:46.072962+00:00
"Colchester, Essex, United Kingdom, CO3 3TD", 2015-02-26 22:59:30.395540+00:00
"Atlanta, GA, United States, 30306", 2015-01-09 16:53:40.468095+00:00
"Redwood City, CA, United States, 94063", 2015-01-09 16:56:58.857358+00:00
"Boulder, CO, USA, CO, United States, ", 2015-01-09 17:00:58.418646+00:00
"Broomfield, Colorado, United States,  80020", 2015-01-09 17:18:42.461884+00:00
"Lawrence, KS, United States, 66049", 2015-01-11 03:56:26.328895+00:00
"Boston, MA, USA, 02129", 2015-01-09 21:23:42.773281+00:00
"Chicago Heights, IL, USA, 60411", 2015-01-09 23:51:54.880345+00:00
"Edinburgh, Midlothian, UK, EH15 2PX", 2015-01-10 01:58:33.898452+00:00
"Seattle, WA, United States, 98103", 2015-01-10 03:21:58.851957+00:00
"Baltimore, MD, United States, 21210", 2015-09-11 19:02:30.813250+00:00
"West Orange, New Jersey, United States, 07052", 2015-01-11 20:37:20.281809+00:00
"Montreal, Québec, Canada, None", 2015-09-27 03:36:12.826836+00:00
"Calgary, AB, Canada, ", 2015-01-09 16:58:47.219971+00:00
"Daytona Beach, FL, United States, ", 2015-01-09 17:07:49.094541+00:00
"Menlo Park, CA, United States, 94025", 2015-01-09 17:11:49.891615+00:00
"Mililani, HI, USA, 96789", 2015-01-09 17:11:22.815442+00:00
"Conyers, Georgia, United States of America, 30094", 2015-01-09 21:24:20.961591+00:00
"Vancouver, British Columbia, Canada, ", 2015-01-10 01:59:57.355378+00:00
"Clifton, CO, USA , 81520", 2015-01-10 03:25:23.782022+00:00
"Welshpool, WA, Australia, ", 2015-01-10 03:58:44.293740+00:00
"Minneapolis, MN, USA, 55407", 2015-01-11 21:22:54.345104+00:00
"Buffalo, NY, United States, 14221", 2015-02-26 02:27:46.022425+00:00
"Dover, Delaware, United States, 19901", 2015-01-09 17:09:29.178369+00:00
"Wilmington, DA, USA, 19810", 2015-01-09 17:20:56.364290+00:00
"San Diego, California, United States, 92075", 2015-01-10 02:09:59.013166+00:00
"Boone, NC, United States, 28607", 2015-01-10 03:30:11.606096+00:00
"Georgetown, Texas, United States, 78633", 2015-01-10 12:25:42.989264+00:00
"Fremont, california, usa, 94538", 2015-01-10 04:12:23.963340+00:00
"Virginia Beach, VA, United States, None", 2015-01-10 09:32:48.477244+00:00
"Minneapolis, Minnesota, USA, 55407", 2015-01-11 22:11:22.239070+00:00
"Carlsbad, CA, United States, 92075", 2015-01-09 21:29:48.285308+00:00
"Midlothian, IL, United States, 60445", 2015-01-09 17:14:33.827465+00:00
"University City, MO, United States, 63130", 2015-01-09 17:22:27.333895+00:00
"Arlington, Texas, United States, 76006", 2015-09-11 19:23:56.400442+00:00
"Pearland, Texas, United States, 77584", 2015-01-10 03:33:50.558257+00:00
"Pacific Palisades, CA, USA, 90272", 2015-01-09 17:23:39.792249+00:00
"Ashburn , VA, USA , 20147 ", 2015-01-10 04:44:10.653526+00:00
"Virginia Beach, VA, United States, 23454", 2015-01-10 12:30:00.311841+00:00
"Murray, Utah, United States, 84107", 2015-01-10 15:36:50.339631+00:00
"Chattanooga, TN, United States, 37415", 2015-01-09 17:10:49.377805+00:00
"Cleveland, Oh, United States, 44113", 2015-01-09 21:37:08.715858+00:00
"Lexington, Kentucky, United States, ", 2015-01-09 17:25:17.232980+00:00
"San Diego, CA, United States, 92107", 2015-01-09 21:36:31.871277+00:00
"Hatfield, Massachusetts, United States, 01038", 2015-02-16 11:43:25.809687+00:00
"Denver, CO, United States, ", 2015-01-09 21:38:52.715941+00:00
"Bethesda, MD, USA, 20817", 2015-01-10 12:41:47.180811+00:00
"Cuba, Illinois, United States, 61427", 2015-01-10 15:51:33.035765+00:00
"Baltimore, MD, USA, 21218", 2015-09-11 19:38:20.924511+00:00
"Ormond Beach, FL, United States, 32174", 2015-01-09 17:28:06.408310+00:00
"Greensburg, IN, United States, 47240", 2015-01-09 23:54:54.788245+00:00
"Gloucester, Virginia, United States, 23061", 2015-01-09 23:59:40.177662+00:00
"Cheyenne, Wyoming, United States, ", 2015-01-10 02:37:26.075893+00:00
"Winnipeg , MB, Canada, R2L 0J6", 2015-01-10 12:52:13.328400+00:00
"Brookings, SD, United States, 57006", 2015-01-11 04:05:18.366686+00:00
"Soquel, CA - California, United States, 95073", 2015-01-10 16:11:10.917850+00:00
"Stockholm, NA, Sverige, ", 2015-01-11 10:55:45.772457+00:00
"San Diego, CA, United States, 92104", 2015-01-09 17:31:01.929850+00:00
"Palm Springs, CA, United States, 92262", 2015-01-09 17:37:08.265418+00:00
"Arlington, VA, United States, 22206", 2015-01-09 17:40:28.437987+00:00
"Scottsdale, Arizona, United States, 85254", 2015-01-09 17:43:23.680260+00:00
"Decatur, GA, United States, 30030", 2015-01-10 02:45:28.342599+00:00
"Minneapolis, MN, United States, 55414", 2015-02-26 17:47:01.110433+00:00
"Baltimore, Maryland, United States, 21230", 2015-09-11 21:52:54.844678+00:00
"Elk Grove, CA, United States, 95758", 2015-01-10 12:59:00.206062+00:00
"Richfield, MN, USA, 55423", 2015-01-11 04:09:10.741613+00:00
"Newark, DE, United States, ", 2015-01-09 17:55:55.974816+00:00
"San Diego, CA, United States, 92127", 2015-01-09 17:56:00.140401+00:00
"Tucson, AZ, United States, 85745", 2015-01-09 21:38:48.746050+00:00
"orlando, FL, USA, 32817", 2015-01-09 18:01:32.676401+00:00
"Bend, Oregon, United States, 97702", 2015-01-09 23:59:18.377768+00:00
"New York, NY, USA, 10019", 2015-01-11 04:14:37.452156+00:00
"Medina, Ohio, United States, 44256", 2015-01-12 15:08:05.809793+00:00
"london, na, uk, nw1 nha", 2015-02-26 18:43:29.569646+00:00
"San Diego, CA, United States, 92131", 2015-01-09 18:00:52.152127+00:00
"Chattanooga, Tennessee, United States, ", 2015-01-09 18:04:36.225274+00:00
"Concord, California, United States, 94520", 2015-01-09 18:04:03.269299+00:00
"Baltimore, MD, USA, 21217", 2015-01-09 21:40:53.091261+00:00
"Portla, OR, USA, 97239", 2015-01-09 18:07:51.181812+00:00
"Baltimore, Maryland, United States, None", 2015-01-09 18:05:48.650993+00:00
"Melbourne, VIC, Australia, ", 2015-02-16 11:47:22.146089+00:00
"AIKEN, South Carolina, United States, 29803", 2015-01-10 00:01:30.240072+00:00
"Palo Alto, CA, United States, 94306", 2015-05-17 23:43:54.810430+00:00
"Torrance, CA, USA, 90505", 2015-01-11 05:49:30.523991+00:00
"New Hyde Park, NY, United States, 11040", 2015-01-09 18:07:57.215461+00:00
"NA, NA, usa, 20001", 2015-01-09 21:44:08.987904+00:00
"Schenectady, NY, United States, 12306", 2015-01-09 18:15:54.016858+00:00
"Philadelphia, PA, United States, 19129", 2015-01-09 18:36:47.883312+00:00
"Downers Grove, IL, USA, 60516", 2015-01-10 00:15:27.320502+00:00
"Provo , Utah, United States, ", 2015-01-10 02:48:37.563463+00:00
"Ashburn , VA, united states, 20147 ", 2015-09-27 03:51:13.504709+00:00
"Cape Coral, FL, United States, 33914", 2015-01-10 13:12:09.380889+00:00
"Tucson, Arizona, United States, 85742", 2015-01-11 06:56:20.523807+00:00
"Santa Barbara, CA, United States, ", 2015-01-09 21:44:05.097111+00:00
"Columbia, Missouri, United States, 65202", 2015-01-09 18:12:22.648308+00:00
"Lexington Park, MD, United States, 20653", 2015-01-09 18:13:57.597105+00:00
"West River, MD, United States, 20778", 2015-01-10 00:15:58.200396+00:00
"Seattle, WA, United States, 98103", 2015-01-11 07:06:44.769392+00:00
"Camp Hill, PENNSYLVANIA, United States, 17011", 2015-01-10 13:27:21.592230+00:00
"Punta Gorda, Florida, United States, 33983", 2015-01-10 18:05:45.967222+00:00
"Escondido, CA, United States, 92027", 2015-01-09 18:20:05.638304+00:00
"Montréal, Quebec, Canada, ", 2015-01-09 21:44:19.585242+00:00
"Charleston, SC, United States, 29407", 2015-01-10 18:08:12.867820+00:00
"Blackburn, Scotland, United Kingdom, ", 2015-01-09 21:45:27.129622+00:00
"Holland, New York, United States, ", 2015-02-16 11:58:46.955259+00:00
"Toronto, Ontario, Canada, M5S 1A7", 2015-01-11 07:21:04.777802+00:00
"Bristow, Virginia, United States, 20136", 2015-02-27 04:16:37.788722+00:00
"Tarpon Springs, FL, United States, ", 2015-01-12 16:27:29.038954+00:00
"Braintree, England, United Kingdom, CM77 8RA", 2015-02-28 16:27:22.335158+00:00
"kent, ohio, usa, 44240", 2015-04-17 01:15:07.817262+00:00
"Clarksburg, WV, United States, ", 2015-09-12 16:30:33.923524+00:00
"Punta Gorda, FL, United States, ", 2015-01-09 18:20:13.417940+00:00
"Montréal, Québec, Canada, H2E 2M5", 2015-01-09 21:45:41.529740+00:00
"Washington , DC, United States, None", 2015-01-09 21:45:14.313784+00:00
"Chevy Chase, MD, United States, ", 2015-01-09 18:42:26.936622+00:00
"Havre De Grace, MD, United States, ", 2015-01-10 13:58:04.506996+00:00
"Worcester, Massachusetts , USA, 01602", 2015-02-16 13:54:07.127986+00:00
"Minneapolis, MN, United States, 55406", 2015-01-12 16:33:37.472706+00:00
"Aurora / La Quinta, Colorado / California, USA, 80016 / 92253", 2015-01-09 18:46:38.741118+00:00
"Louisville, KY, United States, 40208", 2015-01-09 18:43:21.010151+00:00
"Colchester, Essex, UK, CO4 0AN", 2015-02-27 10:02:16.245896+00:00
"Lakeville, Minnesota, United States, 55044", 2015-02-28 17:21:20.675365+00:00
"Pennington, NJ, United States, 08534", 2015-04-17 15:38:37.468779+00:00
"Madison, WI, United States, 53711", 2015-01-09 18:22:01.221698+00:00
"San Diego, CA, United States, None", 2015-01-09 20:55:21.853432+00:00
"Vienna, VA, United States, None", 2015-01-09 20:00:18.234092+00:00
"Columbia, SC, United States, 29205", 2015-03-12 16:12:16.705049+00:00
"Poway, CA, United States, 92064", 2015-01-12 16:37:18.169787+00:00
"Brunswick, Vic, Australia, 3056", 2015-03-01 10:04:58.751115+00:00
"Bluffton, SC, United States, 29910", 2015-03-09 12:24:56.412303+00:00
"Atlanta, GA, United States, ", 2015-01-09 18:33:29.705692+00:00
"Seattle, WA, United States, ", 2015-01-09 18:28:45.906023+00:00
"San Diego, CA, USA, 92111", 2015-01-09 18:29:51.507613+00:00
"Dayton, OH, United States, 45342", 2015-01-09 18:23:49.851841+00:00
"San Diego, CA, United States, ", 2015-01-09 21:47:03.936513+00:00
"Springfield, Ohio, United States, 45504", 2015-01-10 00:24:50.678945+00:00
", , None, None", 2015-01-09 19:08:27.155880+00:00
"Belleville, Ontario, Canada, K8N 3V3", 2015-01-12 16:55:19.357338+00:00
"Vancouver, BC, Canada, V6T1z1", 2015-01-09 18:29:19.048815+00:00
"Kearney, NE, United States, 68847", 2015-01-09 21:47:35.989885+00:00
"Chesapeake, Virginia, United States, 23323", 2015-01-09 18:28:50.579540+00:00
"Summerville, South Carolina, United States, 29485", 2015-01-10 00:31:02.430714+00:00
"Castle Rock, CO, United States, 80109", 2015-01-10 02:49:03.898558+00:00
"Hubert, North Carolina, USA, 28539", 2015-03-09 15:30:09.124043+00:00
"Gosford, NSW, Australia, 2256", 2015-03-14 08:50:44.528877+00:00
"Decatur, Georgia, United States, 30030", 2015-04-17 18:58:19.490113+00:00
"Tucson, AZ, United States, ", 2015-01-09 18:29:33.920807+00:00
"Delray beach , Fl, United States, 33445", 2015-02-16 14:07:01.321744+00:00
"Rancho Santa Fe, CA, USA, 92067", 2015-01-09 18:41:53.785597+00:00
"Longcroft, Falkirk, United Kingdom, ", 2015-01-09 18:41:50.422792+00:00
"San Diego, CA, United States, ", 2015-01-09 21:53:16.745832+00:00
"Fort Collins, CO, United States, 80525", 2015-01-09 19:08:31.469554+00:00
"Phoenix, AZ, United States, 85018", 2015-01-09 19:22:51.144517+00:00
"Escondido, CA, United States, ", 2015-01-09 20:12:03.110960+00:00
"Los Angeles, CA, United States, ", 2015-01-09 19:04:19.927314+00:00
"Bellevue, WA, United States, 98006", 2015-01-09 19:07:44.759228+00:00
"New Plymouth, ID, United States, ", 2015-01-09 19:09:05.636368+00:00
"San Diego, CA, United States, 92126", 2015-01-09 19:11:40.975143+00:00
"Bethesda, MD, USA, 20892", 2015-01-09 19:09:06.775370+00:00
"Averill Park, NY, United States, 12018", 2015-05-18 01:24:06.562908+00:00
"SHREWSBURY, MA - Massachusetts, United States, 01545", 2015-02-16 14:30:58.165627+00:00
"Salt Lake City, UT, USA, 84111", 2015-01-10 00:38:51.123493+00:00
"San Diego, CA, United States, 92121", 2015-01-09 21:53:19.868563+00:00
"Longmont, Colorado, United States, 80503", 2015-01-12 17:09:51.799610+00:00
"huntington, West Virginia , United States, 25701", 2015-01-09 19:14:55.310618+00:00
"Washington, DC, United States, 20007", 2015-01-09 19:11:23.386531+00:00
"Rentz, GA, USA, 31075", 2015-01-09 19:21:39.426768+00:00
"San Francisco, CA, United States, ", 2015-01-09 19:34:04.722074+00:00
"San Ramon, CA, USA, 94583", 2015-01-09 19:27:54.342883+00:00
"Ptuj, NA, Slovenija, 2250", 2015-01-09 19:21:19.667279+00:00
"Kensington, Maryland, United States, 20895", 2015-01-09 20:12:04.059807+00:00
"Alexandria, VA, United States, 22314", 2015-01-09 19:38:45.392977+00:00
"Madison, WI, United States, 53705", 2015-01-09 19:39:03.702832+00:00
"State College, Pa, USA, 16803", 2015-01-09 20:17:30.616439+00:00
"San Diego, CA, United States, 92114", 2015-01-09 22:00:47.117716+00:00
"Pittsboro, North Carolina, United States, 27312", 2015-01-12 18:13:17.073448+00:00
"Redwood City, CA, United States, 94061", 2015-01-12 20:08:00.246931+00:00
"Angola, NY, United States, 14006", 2015-02-16 15:36:08.056960+00:00
"boulder, Colorado, United States, 80304", 2015-09-27 14:22:05.758585+00:00
"Minneapolis, MN, United States, 55404", 2015-01-12 17:14:41.965044+00:00
"San Antonio, TX, United States, 78248", 2015-03-14 20:51:59.658249+00:00
"Fremont, CA, United States, ", 2015-01-09 19:42:28.848288+00:00
"Seattle, Washington, United States, 98122", 2015-01-09 22:15:58.717069+00:00
"Del Mare, CA, USA, 92014", 2015-01-09 22:13:57.537829+00:00
"Daly City, California, United States, 94014", 2015-01-09 19:50:28.871658+00:00
"Salt Lake City, UT, United States, 84109", 2015-01-10 00:37:43.285225+00:00
"San Francisco, California, United States, ", 2015-01-10 03:32:55.378251+00:00
"Torrance, California, United States, ", 2015-05-18 01:38:09.479194+00:00
"Akron, OH, United States, ", 2015-01-09 19:51:10.780946+00:00
"Park City, UT, United States, 84032", 2015-01-10 00:38:18.297698+00:00
"Laurel, MD, United States, ", 2015-09-27 16:55:56.860691+00:00
"Mount Pleasant, MI, United States, 48858", 2015-10-02 11:50:28.300589+00:00
"Point Pleasant Beach, NJ, United States, ", 2015-01-10 05:19:58.105855+00:00
"Huntington Beach, CA, USA, 92647", 2015-01-12 17:16:27.292513+00:00
"Toronto, Ontario, Canada, M6H 1M3", 2015-01-12 18:25:47.020953+00:00
"San Diego, CA, United States, 92103", 2015-01-12 20:17:20.855748+00:00
"San Diego, CA, United States, 92127", 2015-01-09 19:51:20.910327+00:00
"Oakland, California, United States, ", 2015-01-09 19:56:49.780758+00:00
"Poway, CA, United States, 92064", 2015-01-09 20:00:07.373014+00:00
"Boston, Massachusetts, United States, 02135", 2015-01-09 22:22:23.844235+00:00
"Kettering, Ohio, USA, 45429", 2015-01-10 00:49:37.808448+00:00
"Forks, Washington, United States, ", 2015-05-17 03:19:18.291462+00:00
"Salt Lake City, Utah, United States, 84095", 2015-01-10 05:46:13.711438+00:00
"Brooklyn Park, MN, United States, 55428", 2015-01-12 17:22:11.875845+00:00
"Cary, NC, USA, 27518", 2015-01-12 20:18:17.403956+00:00
"San Francisco, California, United States, ", 2015-01-09 20:01:07.939143+00:00
"San Diego, CA, United States, ", 2015-01-09 20:09:05.014658+00:00
"Hixson, Tn, USA, 37343", 2015-01-09 20:02:08.031507+00:00
"Lehigh Acres, FLa, United States, 33972", 2015-01-10 00:59:59.712889+00:00
"Largo, FL, USA, 33770", 2015-01-09 20:34:35.123050+00:00
"LaGrange Park, IL, USA, 60526", 2015-01-09 22:26:33.243032+00:00
"Shieldhill, Scotland, United Kingdom, Fk1 2hf", 2015-01-10 03:46:29.436519+00:00
"vista, California, United States, 92083", 2015-01-10 06:08:17.959483+00:00
"Madison , Alabama , USA, 35758", 2015-01-10 10:03:54.856490+00:00
"Severn, MD, USA , 21144", 2015-01-12 20:49:44.247674+00:00
"San Antonio, TX, United States, 78219", 2015-03-15 00:27:54.564362+00:00
"Millersville, MD, United States, ", 2015-01-09 20:18:52.981084+00:00
"Atlanta, Georgia, United States, 30319", 2015-01-10 02:54:26.564409+00:00
"San Diego, CA, USA, 92130", 2015-01-09 20:42:20.828203+00:00
"Castle Rock, CO, United States, 80104", 2015-01-09 22:32:27.165665+00:00
"Alpharetta, GA, USA, ", 2015-03-15 03:28:28.175448+00:00
"Rochester, WA, USA, 98579", 2015-01-10 06:13:41.822464+00:00
"Topeka, KS, US, 66604", 2015-01-12 17:27:25.659927+00:00
"Bloomington, Mn, america, 55420", 2015-01-12 21:14:11.657262+00:00
"Indianapolis, IN, United States, 46205", 2015-01-13 22:34:46.038892+00:00
"San Diego, CA, United States, 92101", 2015-01-09 20:23:08.392635+00:00
"San Diego, CA, United States, 92130", 2015-01-09 20:39:47.255644+00:00
"RDD, SBA, CA, United States, 96001", 2015-01-09 22:40:00.784011+00:00
"Chesapeake, Virginia, USA, ", 2015-01-09 22:38:33.138616+00:00
"christchurch, dorset, UK, bh23 3hw", 2015-01-10 06:24:18.497430+00:00
"Sandy, UT, United States, 84094", 2015-05-17 03:14:24.885766+00:00
"Richfield, MN, USA, 55423", 2015-01-12 17:29:22.150226+00:00
"San Antonio, TX, USA, 78230", 2015-03-15 09:46:44.957370+00:00
"Baltimore, MD, United States, 21212", 2015-01-13 22:45:36.903580+00:00
"Coburg, VIC, Australia, 3058", 2015-01-10 09:58:29.491795+00:00
"Boise, ID, United States, 83702", 2015-02-16 17:49:58.219567+00:00
"Sydney, NSW, Australia, ", 2015-02-17 23:26:00.738805+00:00
"Honolulu, HI, United States, 96821", 2015-02-23 21:43:45.491813+00:00
"Orlando, FL, USA, 32803", 2015-03-15 12:02:47.615328+00:00
"Malden, Massachusetts, United States, 02148", 2015-01-10 13:51:54.373129+00:00
"Billerica, Massachusetts, United States, 01821", 2015-01-10 11:30:28.767270+00:00
"Greenbelt, MD, United States, 20770", 2015-09-12 22:18:04.666940+00:00
"New York, New York, United States, 11374", 2015-01-10 14:47:22.885194+00:00
"Oakland, CA, United States, 94607", 2015-01-10 16:13:44.507621+00:00
"Toronto, ON, Canada, M5S 2N2", 2015-01-12 17:29:59.533145+00:00
"San Antonio, TX, USA, 78240", 2015-03-15 14:45:37.909183+00:00
"Chicago, IL, United States, 60647", 2015-01-13 22:57:30.548898+00:00
"Mc Calla, AL, United States, ", 2015-01-10 14:44:14.498124+00:00
"Lake Geneva, WI, United States, ", 2015-01-10 14:46:39.464817+00:00
"Bloomington, IN, United States, ", 2015-02-16 17:53:24.346195+00:00
"Glanmire, County Cork, Ireland, None", 2015-02-17 23:31:57.137742+00:00
"Kentwood, Michigan, USA, 49508", 2015-09-13 00:54:47.083879+00:00
"Santee, CA, United States, 92071", 2015-01-10 15:26:19.549093+00:00
"Mentone, VIC, Australia, 3194", 2015-02-16 20:30:52.944610+00:00
"Clifton Park, NY, USA, 12065", 2015-05-14 12:29:47.294656+00:00
"Sydney, NSW, Australia, 2113", 2015-02-17 23:48:11.676417+00:00
"Walpole, MA, United States, 02081", 2015-05-17 03:31:15.417542+00:00
"Alexandria, VA, Usa, 22302", 2015-03-15 19:46:27.725568+00:00
"Richmond, TX, USA, 77407", 2015-05-14 00:53:38.244894+00:00
"Toronto, ON, Canada, M1C3K5", 2015-05-14 12:27:20.402176+00:00
"Norwood, MA, United States, 02062", 2015-05-14 16:17:11.788550+00:00
"Alexandria, VA, United States, 22306", 2015-05-14 17:38:20.834679+00:00
"Bethesda, MD, United States, ", 2015-01-10 16:54:43.727722+00:00
"Fredericton, New Brunswick, Canada, ", 2015-01-10 17:18:58.972315+00:00
"Menomonie, Wisconsin, United States, 54751", 2015-01-12 18:26:09.149740+00:00
"Grand Haven, MI, United States, ", 2015-01-13 15:01:17.537876+00:00
"Trenton, Ontario, Canada, K8V4A9", 2015-01-12 18:27:49.188804+00:00
"Minneapolis, MN, United States, 55423", 2015-01-13 04:02:02.966159+00:00
"Gravesend, Kent, United Kingdom, DA11 8PX", 2015-01-13 08:09:19.017941+00:00
"Toronto, ON, Canada, ", 2015-03-01 14:06:19.961044+00:00
"Seattle, WA, United States, 98115", 2015-01-13 23:57:37.791754+00:00
"Philadelphia, PA, United States, 19148", 2015-01-10 17:48:59.810416+00:00
"Collingswood, NJ, United States, None", 2015-01-10 17:47:01.838602+00:00
"Leon, Gto., Mexico, 37000", 2015-02-18 04:59:55.081583+00:00
"Cullowhee, NC, United States, ", 2015-02-16 21:17:25.505198+00:00
"Kailua, HI, United States, 96734", 2015-02-23 21:46:04.544329+00:00
"Germantown, MD, United States, 20874", 2015-09-27 22:42:32.503441+00:00
"Orlando , Florida , United States, 32803", 2015-03-01 21:38:34.137098+00:00
"Tucson, AZ, United States, 85711", 2015-01-10 17:48:39.060478+00:00
"Castle Rock, CO, United States, None", 2015-01-10 03:10:02.984560+00:00
"San Carlos, CA, United States, None", 2015-01-10 02:48:19.635480+00:00
"Portland, OR, United States, 97209", 2015-01-10 18:08:42.983751+00:00
"Philadelphia, Pennsylvania, United States, 19147", 2015-01-10 19:31:32.627218+00:00
"Palm Springs, CA, USA, 92264", 2015-01-13 04:25:29.767589+00:00
"Colchester, Essex, UK, CO4 9FX", 2015-01-13 09:48:23.087087+00:00
"Dearborn Heights, MI, USA, 48125", 2015-01-13 15:08:52.280087+00:00
"Minneapolis , MN, USA , ", 2015-01-14 00:08:17.794304+00:00
"San Diego, CA, United States, 92129", 2015-01-10 19:34:46.082385+00:00
"Seattle, Washington, United States, ", 2015-01-10 19:21:51.051997+00:00
"Bondi, NSW, Australia, 2026", 2015-02-18 08:05:46.393355+00:00
"Kurunjang, Victoria, Australia, 3337", 2015-02-16 21:24:26.624742+00:00
"Honolulu, Hawaii, United States, 96818", 2015-02-23 22:05:58.309347+00:00
"LONDON, ONTARIO, CANADA, N6C 1M2", 2015-05-14 01:05:11.622167+00:00
"Chapel Hill, NC, USA, 27516", 2015-03-02 04:52:16.778314+00:00
"Baton Rouge, LA, USA, 70820", 2015-05-14 12:36:48.746276+00:00
"Sykesville, MD, USA, 21784", 2015-05-14 16:18:34.004984+00:00
"Madison, WI, United States, 53719", 2015-05-14 17:43:33.982997+00:00
"Oakland, California, United States, ", 2015-01-10 20:16:54.927189+00:00
"Santa Cruz, CA, United States, 65060", 2015-01-10 20:35:38.577037+00:00
"Cape Coral, FL, United States, 33993", 2015-01-10 21:24:58.600983+00:00
"Carlsbad, CA, United States, 92009", 2015-01-11 00:26:13.538136+00:00
